title,year,type,hasBackup,insertDTTM,viewSource
I.S.S.,2023,科幻,0,2024-11-20 00:00,Netflix
白日之下,2023,劇情,0,2024-11-18 00:00,DubokuTV
An Education,2009,劇情,0,2024-11-15 00:00,hmvod
Time Cut,2024,科幻,0,2024-11-13 00:00,Netflix
神算,1992,喜劇,0,2024-11-12 00:00,YouTube
Mountain Queen: the summits of lhakpa sherpa,2024,傳記,0,2024-11-08 00:00,Netflix
The First Slam Dunk,2022,動畫,0,2024-11-03 00:00,Netflix
Leave the World Behind,2023,懸疑,0,2024-10-30 00:00,Netflix
孤注一擲,2023,劇情,0,2024-10-25 00:00,Netflix
Wonderland,2024,科幻,0,2024-10-18 00:00,Netflix
Uglies,2024,科幻,0,2024-10-07 00:00,Netflix
十七年命運週期,2024,電視,0,2024-10-03 00:00,ViuTV
年少日記,2023,劇情,0,2024-09-30 00:00,8mapletv
Top Gun,1986,動作,0,2024-09-17 00:00,Netflix
Top Gun: Maverick,2022,動作,0,2024-09-09 00:00,Netflix
正港分局,2024,電視,0,2024-08-29 00:00,Netflix
幻愛,2019,劇情,0,2024-08-28 00:00,vimeo
反起跑線聯盟2,2024,電視,0,2024-08-26 00:00,ViuTV
填詞L,2023,劇情,0,2024-08-25 00:00,uvod
Anyone but you,2023,喜劇,0,2024-07-26 00:00,Netflix
無人之境,2024,電視,0,2024-07-10 00:00,ViuTV
City Hunter,2024,劇情,0,2024-06-25 22:00,Netflix
我的麻吉4個鬼,2023,喜劇,0,2024-06-24 22:00,Netflix
Despicable Me 4,2024,動畫,0,2024-06-21 19:20,Event Cinema
Inside Out 2,2024,動畫,0,2024-06-16 16:30,Event Cinema
Godzilla Minus One,2023,動作,0,2024-06-14 00:00,Netflix
Mysteries of the Terracotta Warriors,2024,紀錄,0,2024-06-13 01:20,Netflix
九龍城寨之圍城,2024,動作,0,2024-06-02 21:10,Event Cinema
Morbius,2022,動作,0,2024-05-31 00:00,Netflix
Atlas,2024,科幻,0,2024-05-30 00:00,Netflix
濁水漂流,2021,劇情,0,2024-05-26 00:00,ViuTV
Chaos Walking,2021,科幻,0,2024-05-23 00:00,Netflix
GTO Revival,2024,劇情,0,2024-05-20 00:00,duboku
打天下２,2024,電視,0,2024-05-19 00:00,ViuTV
Doraemon 13: Nobita and the Kingdom of Clouds 大雄與雲之國,1992,動畫,0,2024-05-18 00:00,hkanime
Secrets of the Neanderthals,2024,紀錄,0,2024-05-05 20:30,Netflix
Benedetta,2021,劇情,0,2024-05-02 00:30,SBS
覺悟,2017,劇情,0,2024-04-12 00:30,YouTube
Sisu,2022,動作,0,2024-04-05 00:30,Netflix
Black Adam,2022,動作,0,2024-04-02 00:30,Netflix
3 Body Problem,2024,電視,0,2024-03-23 00:30,Netflix
飛黃騰達,2024,電視,0,2024-03-18 00:30,ViuTV
Einstein and the bomb,2024,傳記,0,2024-03-18 00:30,Netflix
Damsel,2024,冒險,0,2024-03-12 00:30,Netflix
臨時劫案,2024,喜劇,0,2024-03-10 00:30,pttplay
周處除三害,2024,劇情,0,2024-03-08 00:30,Netflix
The Matrix Resurrections,2021,科幻,0,2024-02-20 00:30,Netflix
飯戲攻心2,2024,喜劇,0,2024-02-18 20:30,Event Cinema
Badland Hunters,2024,冒險,0,2024-02-07 00:00,Netflix
La sociedad de la nieve (Society of the Snow),2023,傳記,0,2024-01-25 00:00,Netflix
金手指,2023,警匪,0,2023-12-30 09:00,Cinema
Pretty Cure: All Stars F,2023,動畫,0,2023-12-25 13:00,Cinema
死屍死時四十四,2023,喜劇,0,2023-12-10 23:00,uvod
蠟筆小新：黃金間諜大作戰,2011,動畫,0,2023-12-08 20:00,facebook
Doraemon 34: Nobita in the New Haunts of Evil 新·大雄的大魔境,2014,動畫,1,2014-12-19 20:00,
Doraemon 37: Nobita's Great Adventure in the Antarctic Kachi Kochi 大雄的南極冰天雪地大冒險,2017,動畫,0,2023-12-03 00:00,TVB
Doraemon 38: Nobita's Treasure Island 大雄的金銀島,2018,動畫,0,2023-12-03 00:00,TVB
Doraemon 40: Nobita's New Dinosaur 大雄的新恐龍,2020,動畫,0,2023-12-03 00:00,TVB
Doraemon 42: Nobita's Sky Utopia 大雄與天空的理想鄉,2023,動畫,0,2023-12-03 00:00,pttplay
Fall,2022,懸疑,0,2023-12-01 00:00,Prime
Everything Everywhere All at Once,2022,科幻,0,2023-11-20 00:00,Prime
The Man in the High Castle,2015,電視,0,2023-11-15 00:00,Prime
無制限探險隊,2023,電視,0,2023-11-01 00:00,ViuTV
The Tomorrow War,2021,科幻,0,2023-10-20 00:00,Prime
Drifting Home,2022,動畫,0,2023-10-14 00:00,Netflix
Race to the Summit,2023,紀錄,0,2023-10-12 00:00,uvod
白日青春,2022,劇情,0,2023-10-06 00:00,uvod
Nowhere,2023,冒險,0,2023-10-03 00:00,Netflix
The Volcano: Rescue from Whakaari,2022,紀錄,0,2023-09-28 00:00,Netflix
